Month,Day,Max_Temp,Avg_Temp,Min_Temp,Max_DewPoint,Avg_DewPoint,Min_DewPoint,Max_Humidity,Avg_Humidity,Min_Humidity,Max_WindSpeed,Avg_WindSpeed,Min_WindSpeed,Max_Pressure,Avg_Pressure,Min_Pressure,Total_Precipitation
Feb,1,21.11,15.72,10.00,14.44,11.22,3.89,86,74.8,63,13,7.2,3,30.1,30.1,30,0
Feb,2,23.33,18.78,15.56,17.78,15.89,13.89,90,83.5,66,9,6.3,3,30.1,30,29.9,0.07
Feb,3,18.33,17.11,16.11,15.56,15.00,14.44,93,87.8,84,8,3.8,0,29.9,29.9,29.8,0.32
Feb,4,22.22,17.11,12.78,14.44,13.00,11.11,90,77.4,59,8,3.4,0,30,29.9,29.9,0
Feb,5,26.67,13.78,9.44,15.00,10.61,7.78,93,82.7,45,5,0.5,0,30,29.9,29.9,0
Feb,6,27.22,19.06,12.22,14.44,12.89,10.00,90,70.4,41,8,2,0,30,30,30,0
Feb,7,27.78,18.67,12.78,16.11,13.78,11.11,90,75.3,45,9,2.4,0,30,30,30,0
Feb,8,29.44,21.61,12.22,17.22,14.11,10.56,90,65.3,38,10,4.3,0,30.2,30.1,30,0
Feb,9,20.00,16.39,13.33,11.67,7.11,0.56,75,55.2,39,18,11.7,6,30.3,30.2,30.2,0
Feb,10,22.78,18.56,15.56,17.22,15.11,12.22,90,80.4,68,15,10,3,30.3,30.2,30.1,0
Feb,11,28.33,20.83,17.22,18.33,16.50,14.44,90,78.4,44,9,3.3,0,30.1,30,29.9,0
Feb,12,29.44,21.83,16.67,21.11,17.72,12.78,90,78.2,53,22,7.9,0,29.9,29.9,29.8,0
Feb,13,18.33,13.50,7.78,13.33,6.83,-1.11,88,66.7,33,13,6.4,0,30,30,29.9,0.22
Feb,14,22.78,13.28,1.67,10.00,5.17,0.00,89,61.1,34,9,2.7,0,30,30,29.9,0.08
Feb,15,23.89,17.28,9.44,12.78,10.33,7.22,90,65.8,44,12,5.3,0,29.9,29.8,29.8,0
Feb,16,26.67,20.22,12.22,17.78,15.11,9.44,87,73.7,52,18,8,0,29.8,29.7,29.7,0
Feb,17,29.44,22.78,20.00,20.00,18.33,17.22,90,77.1,48,15,6.7,0,29.8,29.8,29.8,0
Feb,18,31.11,24.39,20.00,21.11,18.17,11.67,87,68.9,51,16,8.6,3,30.1,29.9,29.8,0
Feb,19,26.67,20.28,16.67,18.89,13.56,7.78,87,65.9,52,16,9.1,5,30.1,30.1,30,0
Feb,20,29.44,21.33,17.78,21.11,17.61,15.56,90,80.2,57,9,4.1,0,30,30,29.9,0
Feb,21,31.67,21.83,18.33,20.00,17.67,16.67,93,79.4,43,12,2.1,0,30,29.9,29.9,0
Feb,22,30.00,22.17,17.22,21.11,18.22,15.56,94,79.8,49,6,1.3,0,30,30,30,0
Feb,23,32.22,23.83,20.00,21.67,19.56,16.67,93,78.9,40,15,5.2,0,30,30,29.9,0.01
Feb,24,28.89,23.78,17.22,21.67,18.67,9.44,82,73.7,47,28,9.9,3,30,29.9,29.9,0
Feb,25,22.22,16.17,10.00,9.44,3.28,-1.67,65,44,27,14,8.8,0,30.2,30.2,30,0.22
Feb,26,20.56,17.50,13.89,16.67,13.61,7.22,84,77.8,64,8,3.4,0,30.2,30.1,30.1,0
Feb,27,25.56,19.28,15.00,18.33,16.00,13.33,94,82.2,54,10,2.2,0,30.1,30,29.9,0.02
Feb,28,26.11,19.17,14.44,17.22,15.72,12.78,93,81.6,45,8,3.2,0,29.9,29.9,29.9,0.07
Mar,1,27.78,20.67,17.22,17.22,16.06,13.89,87,76.2,51,26,7,0,30,29.9,29.9,0
Mar,2,27.78,20.72,16.67,19.44,17.56,13.89,90,82.8,54,26,4.2,0,30,29.9,29.9,0.14
Mar,3,29.44,22.33,18.89,20.00,17.78,12.78,90,77.3,45,18,7,0,29.9,29.8,29.7,0.91
Mar,4,22.22,19.89,11.11,19.44,16.00,6.67,87,78.6,59,14,7.8,0,29.9,29.8,29.7,0.34
Mar,5,15.00,10.44,7.22,6.67,4.61,-1.11,83,68,47,13,7.8,3,30.1,30,29.9,0.11
Mar,6,16.11,9.11,3.33,0.56,-3.94,-7.22,79,43.7,20,14,5.7,0,30.3,30.2,30.1,0.02
Mar,7,22.22,12.11,1.11,6.67,1.67,-2.78,82,55,24,12,3,0,30.3,30.2,30.1,0
Mar,8,26.67,17.22,8.33,11.11,8.89,5.56,86,62.1,32,13,3.3,0,30.1,30,30,0
Mar,9,28.33,20.50,11.11,16.67,13.33,8.89,86,66.1,41,15,4.8,0,30,29.9,29.9,0
Mar,10,30.56,22.94,16.11,18.33,16.39,13.89,90,69.2,41,10,3.6,0,30,30,29.9,0
Mar,11,30.00,22.89,16.67,18.89,16.78,15.00,90,70.8,40,9,4,0,30.1,30,30,0
Mar,12,26.67,21.17,15.56,18.33,14.28,10.56,87,66.8,39,16,9,0,30.1,30,30,0
Mar,13,27.78,20.94,15.00,14.44,12.83,10.56,80,61.8,41,20,9.6,3,30.1,30,30,0
Mar,14,28.89,22.50,16.11,16.11,15.06,13.89,87,64.8,41,13,7.2,0,30,30,29.9,0
Mar,15,30.56,23.39,16.67,18.89,16.83,14.44,87,68.2,44,13,6.6,0,30,30,29.9,0
Mar,16,22.78,19.67,14.44,19.44,13.28,8.33,90,68.2,44,10,5.2,0,30,30,29.9,0
Mar,17,18.33,15.06,13.33,11.11,9.22,7.78,75,68.3,58,10,7.5,5,30,30,29.9,0
Mar,18,22.78,16.61,11.67,8.89,4.28,-0.56,72,47.9,23,15,8.2,3,30,30,30,0
Mar,19,21.67,15.83,12.22,12.22,7.50,1.11,72,58.3,44,20,10.9,0,30.1,30,30,0
Mar,20,23.33,17.00,13.33,8.33,5.89,3.89,67,50,28,13,6.5,0,30,30,29.9,0
Mar,21,24.44,16.00,7.22,7.78,6.06,2.78,86,57,29,22,7.7,0,29.9,29.8,29.7,0
Mar,22,25.56,16.33,7.78,7.78,4.44,0.56,77,51.1,20,14,8.8,5,30,29.9,29.8,0
Mar,23,26.67,15.17,6.11,9.44,4.67,-0.56,89,58.1,17,10,3.2,0,30.1,30,29.9,0
Mar,24,27.78,18.50,10.00,12.22,9.72,6.67,83,60.6,31,10,3.2,0,30.1,30.1,30,0
Mar,25,27.78,20.78,13.33,13.89,12.89,11.11,87,63.2,41,18,7.2,0,30,29.9,29.9,0
Mar,26,28.33,20.28,16.11,16.67,14.06,8.89,90,70.3,32,18,7.2,0,29.9,29.9,29.8,0
Mar,27,21.67,16.83,13.89,14.44,9.72,0.00,87,66,27,21,12.7,6,30.1,30,29.9,0.09
Mar,28,25.00,17.89,12.22,13.33,9.39,4.44,80,59.8,31,17,10.4,3,30.2,30.1,30.1,0
Mar,29,26.11,18.61,9.44,13.89,10.67,7.22,86,63.2,38,12,4.6,0,30.1,30,30,0
Mar,30,28.33,20.33,13.89,14.44,12.50,10.56,87,64.1,33,10,3.8,0,30,29.9,29.9,0
Mar,31,28.89,20.83,14.44,18.33,15.39,11.67,87,73.2,41,17,5.1,0,29.9,29.9,29.8,0
Apr,1,20.00,14.67,12.22,17.22,11.56,7.78,87,81.8,67,12,7.2,0,30,30,29.9,0.26
Apr,2,22.22,15.61,12.78,12.78,11.67,8.33,94,78.9,46,14,5.6,0,30.1,29.9,29.9,0.44
Apr,3,24.44,16.06,7.78,11.11,8.17,5.00,86,63.7,34,14,6,0,30.2,30.1,30.1,0.09
Apr,4,27.78,20.11,11.11,13.89,11.67,8.89,86,61.5,35,15,6.4,0,30.2,30.1,30,0
Apr,5,27.22,22.17,18.89,18.33,16.94,13.89,87,73.2,54,18,6.8,0,30,29.9,29.9,0.05
Apr,6,32.22,21.00,16.67,20.00,16.78,15.00,94,78.7,45,12,2.7,0,30,30,29.9,0
Apr,7,31.67,22.44,16.67,21.67,17.61,15.00,90,76.5,40,17,3.2,0,30.1,30,29.9,0
Apr,8,31.11,24.39,21.11,21.11,19.94,18.89,91,77.2,49,20,8.3,3,30,29.9,29.8,0
Apr,9,30.00,24.17,20.56,22.22,20.06,17.22,90,78.1,53,20,7.7,0,29.8,29.7,29.6,0.15
Apr,10,29.44,21.56,16.67,17.78,16.33,15.00,90,74.1,44,10,3.5,0,29.7,29.6,29.6,0.1
Apr,11,30.56,20.72,16.11,20.00,16.83,14.44,90,79.9,48,10,2.8,0,29.8,29.7,29.7,0
Apr,12,32.22,24.33,19.44,21.11,18.72,16.67,90,73.6,39,14,5.8,0,29.9,29.8,29.8,0
Apr,13,31.67,25.72,21.67,21.67,20.06,18.33,87,72.3,45,10,6.2,0,29.9,29.8,29.8,0
Apr,14,32.22,25.67,22.22,22.22,20.33,18.89,87,73.2,45,23,12.1,6,29.8,29.7,29.6,0
Apr,15,26.11,20.06,12.22,19.44,11.61,3.33,87,62.3,24,17,9.5,0,30,29.8,29.7,0.15
Apr,16,28.33,19.00,7.78,14.44,8.89,5.00,83,56.4,28,9,5.2,0,30.1,30,30,0
Apr,17,30.00,21.94,13.33,17.22,14.61,11.11,87,66.2,38,12,4.3,0,30,29.9,29.9,0
Apr,18,31.67,23.00,16.11,18.33,15.44,13.33,90,66.1,32,15,5.5,0,29.9,29.8,29.7,0
Apr,19,27.78,22.39,17.22,21.67,18.44,10.00,90,78.5,59,35,13.9,0,29.7,29.6,29.5,0.04
Apr,20,21.67,16.94,12.78,11.67,8.67,4.44,87,60.7,32,22,9,0,29.9,29.8,29.7,0.94
Apr,21,25.56,17.39,7.78,10.56,6.67,3.89,86,55.1,25,13,4,0,30,29.9,29.9,0.03
Apr,22,29.44,19.56,9.44,10.00,7.67,4.44,86,52.6,24,8,2,0,30.1,30,29.9,0
Apr,23,30.00,21.28,11.67,13.89,10.89,8.89,84,56.2,29,8,1.9,0,30,29.9,29.9,0
Apr,24,30.56,23.56,14.44,16.67,13.67,11.67,84,57,33,9,3.2,0,29.9,29.9,29.8,0
Apr,25,31.11,23.44,15.56,18.33,15.56,13.33,86,63.6,40,13,4.8,0,29.9,29.8,29.8,0
Apr,26,29.44,23.50,18.33,20.56,18.22,13.33,87,73.7,48,16,9,0,29.8,29.7,29.6,0.37
Apr,27,28.89,20.50,10.00,11.67,8.67,5.56,83,51.6,24,9,4.2,0,29.9,29.9,29.8,0.06
Apr,28,31.11,22.94,13.33,17.78,14.00,10.56,84,59.9,34,9,3.1,0,30,29.9,29.9,0
Apr,29,31.67,23.67,15.56,18.33,15.56,12.78,86,63.3,31,13,5.6,0,30.1,30,29.9,0
Apr,30,32.78,23.22,17.22,21.11,18.00,15.56,94,75,39,14,5.5,0,30.1,30,30,0
May,1,32.22,22.94,18.89,21.11,18.11,15.00,94,77.2,37,14,4,0,30.1,30,30,0
May,2,30.56,25.17,21.11,22.22,20.22,18.89,87,75.2,51,15,8.2,3,30,29.9,29.9,0
May,3,28.89,24.89,21.67,23.33,21.50,18.89,91,81.7,66,12,4.3,0,29.9,29.8,29.8,0
May,4,32.22,26.72,22.78,22.78,21.22,19.44,91,73.5,46,16,8.4,3,29.8,29.8,29.7,0.22
May,5,28.33,24.06,22.22,23.33,15.78,-17.78,91,71.7,0,20,6.7,0,29.8,29.7,29.7,0
May,6,32.22,25.89,21.67,21.11,19.72,16.67,91,71,40,12,4.7,0,29.9,29.8,29.7,2.13
May,7,33.33,25.06,20.00,21.67,18.83,16.11,90,71.3,35,10,3.5,0,29.9,29.9,29.9,0
May,8,32.22,24.72,19.44,20.56,17.78,15.56,90,68.4,38,16,6.1,0,29.9,29.9,29.9,0
May,9,31.67,25.89,20.00,20.56,18.61,16.67,87,65.9,40,12,6.3,0,29.9,29.9,29.8,0
May,10,32.78,27.22,21.11,20.56,19.50,17.78,87,64.8,41,10,4.6,0,29.9,29.9,29.8,0
May,11,33.33,27.33,20.00,21.67,20.17,18.33,90,66.9,45,14,5.7,0,29.9,29.8,29.7,0
May,12,32.78,25.83,21.67,23.33,21.06,19.44,91,76.4,50,20,6.1,0,29.8,29.7,29.7,0
May,13,30.56,26.22,22.22,23.33,20.39,17.78,87,71.4,49,20,6.3,0,29.8,29.7,29.7,0
May,14,30.00,24.44,20.56,19.44,15.00,12.22,87,58.3,33,10,5.5,0,29.8,29.8,29.7,0
May,15,30.56,23.61,15.56,17.22,15.00,12.22,84,61.1,33,13,4.3,0,29.9,29.8,29.8,0
May,16,31.67,24.78,16.11,18.33,16.17,13.89,87,61.5,39,8,3.9,0,29.9,29.9,29.8,0
May,17,32.78,26.44,18.89,18.33,16.11,12.78,84,56,29,9,3.8,0,29.9,29.9,29.8,0
May,18,33.33,25.89,18.33,17.78,16.00,15.00,84,57,35,12,4.3,0,29.9,29.9,29.8,0
May,19,33.33,25.00,15.00,19.44,15.83,12.78,87,61.1,32,12,3.4,0,29.9,29.9,29.8,0
May,20,33.89,27.00,20.56,22.22,19.11,15.56,90,65.7,34,8,3.2,0,29.9,29.9,29.8,0
May,21,35.56,29.17,23.89,21.67,19.61,15.56,82,59.4,30,12,5.7,0,29.9,29.8,29.7,0
May,22,35.56,28.61,22.78,21.67,19.22,15.00,82,59.3,32,14,7.7,0,30,29.9,29.9,0
May,23,34.44,26.94,21.11,20.56,18.94,17.78,87,64.1,37,15,6.8,0,30.1,30,30,0
May,24,35.56,26.94,18.33,19.44,17.11,15.56,87,58.7,32,10,3.8,0,30,30,29.9,0
May,25,37.22,28.94,20.56,20.00,18.89,17.78,87,57.5,34,15,6.3,0,30,30,29.9,0
May,26,37.22,29.89,20.56,21.67,18.72,16.11,87,55.1,28,9,3.6,0,30,30,29.9,0
May,27,38.89,31.28,23.89,21.67,19.89,18.33,79,53.2,30,10,4.9,0,29.9,29.9,29.8,0
May,28,38.33,29.39,24.44,23.33,21.67,20.00,85,65.3,36,18,6.1,0,29.9,29.8,29.7,0
May,29,36.67,28.89,22.22,21.67,18.67,15.00,91,59.3,28,13,3.9,0,29.9,29.8,29.7,0.03
May,30,37.22,29.22,21.11,22.22,19.67,15.56,84,59.3,28,14,5,0,29.9,29.8,29.7,0
May,31,33.89,28.06,22.78,23.33,21.94,20.00,85,70.7,47,21,6.6,0,29.9,29.8,29.7,0
Jun,1,36.67,29.94,25.56,24.44,22.28,17.78,87,65.9,36,18,8.2,3,29.8,29.8,29.7,0.27
Jun,2,35.00,30.00,25.00,23.89,22.22,19.44,88,65.2,40,20,9,0,29.8,29.7,29.7,0
Jun,3,36.67,30.61,26.11,23.89,21.28,15.56,85,61.3,29,9,5.1,0,29.9,29.8,29.7,0
Jun,4,37.78,29.50,24.44,25.00,21.61,15.56,87,66.4,28,22,5.5,0,29.9,29.9,29.8,0
Jun,5,36.11,28.22,22.78,23.89,21.94,20.00,90,70.7,39,16,4.7,0,29.9,29.9,29.8,0.03
Jun,6,32.78,28.33,24.44,23.33,22.67,20.56,85,71.9,53,13,3.4,0,29.8,29.8,29.7,0.05
Jun,7,31.67,26.83,25.00,24.44,22.89,21.67,88,79,63,21,6.2,0,29.7,29.7,29.7,0.03
Jun,8,33.33,27.39,25.00,23.89,22.67,21.67,88,76,50,23,7.7,0,29.8,29.7,29.7,0.24
Jun,9,25.56,24.50,23.33,23.33,22.00,20.56,89,85.8,79,14,6.7,0,29.8,29.8,29.7,0.44
Jun,10,33.33,27.33,22.22,23.33,22.06,20.00,87,73.6,52,18,7.2,0,29.8,29.8,29.8,0.8
Jun,11,33.89,28.94,23.33,23.89,22.50,21.11,91,69.3,52,14,6.4,0,29.9,29.8,29.8,0.09
Jun,12,30.00,25.72,23.33,23.89,22.06,20.00,88,80.4,65,28,9.2,0,29.9,29.8,29.8,0.19
Jun,13,29.44,24.94,22.78,23.89,21.94,20.56,91,83.3,72,15,7.1,0,29.9,29.9,29.8,2.68
Jun,14,31.67,26.50,22.78,22.78,19.61,16.11,88,68.4,43,12,5.7,0,30,29.9,29.9,0.57
Jun,15,32.78,27.22,21.11,23.33,21.44,18.89,87,71.7,54,12,5.1,0,30,29.9,29.9,0
Jun,16,34.44,27.28,23.33,23.33,21.67,19.44,87,72.9,44,18,4.3,0,29.9,29.9,29.8,0.05
Jun,17,33.33,26.00,22.78,23.89,22.06,20.56,87,79.6,54,28,6.6,0,29.9,29.9,29.9,0
Jun,18,31.67,27.28,24.44,25.56,23.39,21.67,88,79.5,61,12,4.6,0,29.9,29.9,29.8,1.44
Jun,19,30.56,26.28,24.44,25.56,23.22,21.67,88,82.9,74,31,8.4,3,29.9,29.8,29.8,0.36
Jun,20,32.22,28.06,23.89,25.56,24.44,22.78,94,81.1,62,30,10.1,5,29.9,29.8,29.8,2.33
Jun,21,33.89,28.94,25.56,25.56,24.78,23.33,96,79.3,54,14,10.4,7,29.9,29.9,29.8,0.31
Jun,22,33.33,28.72,24.44,25.56,24.56,23.33,100,79.3,55,13,8.2,3,30,29.9,29.9,0
Jun,23,33.89,28.44,23.33,25.00,23.56,22.22,100,76.5,52,10,5.5,0,30,29.9,29.9,0
Jun,24,33.89,28.11,22.78,25.00,22.56,20.00,100,74.6,45,14,5.7,0,29.9,29.9,29.8,0
Jun,25,34.44,29.11,23.89,26.11,24.33,22.22,100,77,50,14,5.8,0,29.9,29.9,29.8,0
Jun,26,34.44,28.94,23.33,23.89,21.56,18.89,91,66.6,40,12,5.8,0,30,29.9,29.9,0
Jun,27,33.33,26.83,20.00,21.11,20.06,18.89,97,69.2,42,10,3.9,0,30,29.9,29.9,0
Jun,28,33.89,27.22,21.11,23.89,21.56,19.44,100,73.4,44,21,7,0,30,29.9,29.9,0
Jun,29,31.67,25.89,22.78,23.33,21.94,20.00,97,80.2,50,22,5.3,0,30,30,29.9,0
Jun,30,32.22,26.39,21.67,23.33,22.50,21.11,100,80.7,57,10,3.6,0,29.9,29.9,29.8,0
Jul,1,34.44,28.06,22.78,23.89,22.78,21.67,100,74.9,51,10,6.5,0,29.9,29.9,29.8,0
Jul,2,34.44,27.61,24.44,24.44,23.39,21.11,97,79.7,50,20,7.8,0,29.9,29.8,29.8,0
Jul,3,35.00,27.72,23.89,25.00,22.28,-17.78,100,77.3,0,25,5.6,0,29.8,29.8,29.7,0.58
Jul,4,33.89,27.11,23.33,24.44,23.28,22.22,100,81.4,54,14,4,0,29.9,29.8,29.8,0.51
Jul,5,30.56,24.61,22.22,25.56,23.39,22.22,100,93.5,72,16,4.5,0,30,29.9,29.9,0.07
Jul,6,29.44,25.44,22.22,25.00,23.33,21.67,100,89,63,13,4.4,0,30,29.9,29.9,0.44
Jul,7,30.00,26.50,22.78,25.56,23.56,21.67,97,84.2,72,13,4.9,0,29.9,29.8,29.8,0
Jul,8,33.89,27.06,22.78,25.56,23.11,21.67,100,80.8,50,10,4.3,0,29.8,29.8,29.7,0.01
Jul,9,33.33,26.67,23.33,25.56,24.56,22.78,100,89.2,59,20,5,0,29.8,29.8,29.7,0.03
Jul,10,31.67,26.83,23.89,25.00,23.83,22.22,100,84.5,59,14,5.9,0,29.9,29.8,29.8,0.1
Jul,11,33.33,26.33,22.78,24.44,23.50,22.22,100,85.8,53,21,6.2,0,29.9,29.8,29.8,0
Jul,12,33.33,25.11,22.78,24.44,22.94,21.67,100,88.9,54,14,4.8,0,29.9,29.9,29.8,0.3
Jul,13,32.78,27.00,21.67,24.44,22.56,21.67,100,78.5,53,9,3.5,0,30,29.9,29.9,0.04
Jul,14,33.89,28.39,23.33,25.56,22.89,21.11,100,74.5,48,7,2.3,0,30,30,29.9,0
Jul,15,33.89,27.50,22.78,23.89,22.56,20.00,97,76.5,49,13,3.6,0,30,29.9,29.9,0
Jul,16,33.89,28.72,22.22,24.44,23.33,22.22,100,74.4,55,12,4.1,0,30,29.9,29.9,0
Jul,17,33.33,25.28,21.67,23.89,12.78,-17.78,100,64.8,0,9,1.1,0,30,30,29.9,0
Jul,18,32.78,25.50,-17.78,23.89,12.78,-17.78,100,54.8,0,8,2,0,30,28.7,0,0
Jul,19,32.78,25.33,22.22,24.44,22.39,18.89,97,84.6,53,30,4.3,0,30,29.9,29.9,0
Jul,20,32.78,24.61,20.56,23.33,21.61,20.00,100,85.3,52,23,3.1,0,30,29.9,29.9,0.25
Jul,21,32.22,25.33,20.56,23.89,21.56,20.00,97,81.2,55,17,4.6,0,29.9,29.9,29.9,0.03
Jul,22,31.67,26.17,20.00,23.89,21.78,19.44,96,78,57,14,4.7,0,29.9,29.9,29.8,0.03
Jul,23,30.56,26.17,21.67,24.44,22.22,21.11,97,79.9,63,13,5.6,0,29.8,29.8,29.7,0.03
Jul,24,27.78,23.89,21.67,24.44,22.33,21.11,100,91.3,76,13,5,0,29.9,29.8,29.7,0
Jul,25,27.22,23.72,20.56,22.78,21.67,20.00,100,88.4,74,13,4.5,0,29.9,29.9,29.8,1.38
Jul,26,26.67,23.83,20.56,23.89,22.28,20.00,97,91,79,9,2.5,0,30,30,29.9,0.06
Jul,27,30.56,24.39,21.11,23.33,21.89,20.56,97,86.6,59,13,3.4,0,30.1,30,30,0.22
Jul,28,31.11,25.61,22.22,23.89,22.39,21.67,97,82.7,61,15,6.5,0,30,30,29.9,0.06
Jul,29,32.22,25.72,21.67,25.00,21.67,20.56,93,79.3,55,14,5.5,0,29.9,29.9,29.8,0.04
Jul,30,33.33,26.89,20.00,23.33,20.67,15.56,100,72.3,37,9,3.2,0,29.9,29.9,29.8,0.02
Jul,31,32.22,26.61,22.78,25.00,22.33,19.44,100,78.7,55,13,4,0,29.9,29.9,29.9,0
Aug,1,32.78,25.56,21.11,22.78,20.89,19.44,94,77.2,45,15,5,0,29.9,29.9,29.9,0
Aug,2,29.44,25.39,22.78,22.78,22.39,21.67,96,83.9,67,20,5.1,0,29.9,29.8,29.8,0
Aug,3,31.67,25.83,21.11,24.44,22.06,20.56,100,81.1,53,9,2.1,0,29.8,29.8,29.7,0
Aug,4,32.78,27.00,22.78,24.44,22.72,21.11,100,79.5,53,10,4.1,0,29.9,29.8,29.8,0
Aug,5,33.33,27.50,23.33,23.33,22.17,21.11,93,74.2,50,14,4.9,0,29.9,29.8,29.8,0
Aug,6,31.67,26.83,23.89,23.89,22.78,21.67,94,79.1,55,23,5.7,0,29.9,29.8,29.8,0.02
Aug,7,29.44,25.94,23.89,25.00,23.61,22.22,96,87.2,74,15,5.5,0,29.9,29.8,29.8,0.62
Aug,8,31.67,26.33,23.33,25.56,23.44,21.11,97,84.8,65,25,5.4,0,29.9,29.8,29.8,0.03
Aug,9,33.89,27.94,23.89,25.56,24.11,22.78,97,81.2,56,14,7.2,0,29.8,29.8,29.8,0.59
Aug,10,34.44,28.78,25.00,26.11,24.72,23.33,97,80.1,52,14,5.7,0,29.8,29.8,29.7,0
Aug,11,33.89,27.78,23.33,25.56,23.94,22.22,100,81.1,56,18,6.3,0,29.9,29.8,29.7,0
Aug,12,33.33,25.72,22.78,26.11,23.67,22.22,100,89.3,59,13,3.3,0,29.8,29.8,29.7,1.22
Aug,13,33.89,26.72,22.78,25.56,23.61,22.22,100,84.6,52,12,3.1,0,29.8,29.8,29.7,0.62
Aug,14,33.33,27.22,23.33,25.56,23.78,22.78,97,82.2,59,10,4.1,0,29.8,29.8,29.7,0
Aug,15,28.89,25.39,23.89,25.56,24.06,22.78,96,92.5,79,16,7,0,29.8,29.8,29.8,0.07
Aug,16,25.00,23.94,23.33,24.44,23.06,22.22,97,95,93,14,8.8,5,29.9,29.8,29.8,0.43
Aug,17,24.44,23.44,21.67,23.33,22.50,21.11,97,94.5,90,18,7.7,0,29.9,29.9,29.8,1.78
Aug,18,27.22,23.89,22.78,23.89,22.44,21.67,97,91.7,77,16,6.7,0,30,29.9,29.9,0.54
Aug,19,30.00,24.78,22.78,23.89,20.44,-17.78,96,82.6,0,22,4.4,0,30,29.9,29.9,0.14
Aug,20,31.67,25.72,22.22,24.44,22.67,21.67,97,84.1,57,15,5.1,0,30,29.9,29.9,0.36
Aug,21,33.33,25.61,21.67,23.89,22.33,21.11,100,84.2,50,15,3.5,0,30,29.9,29.9,0
Aug,22,32.78,27.39,22.22,23.89,22.61,21.67,97,77.3,52,10,3.2,0,29.9,29.9,29.8,0.09
Aug,23,33.33,27.44,21.67,24.44,22.22,20.56,100,75.7,47,8,2.8,0,29.9,29.9,29.8,0
Aug,24,33.89,27.33,22.22,23.89,22.67,21.67,97,77.9,52,9,4.1,0,29.9,29.8,29.8,0
Aug,25,31.67,26.28,22.78,25.00,23.50,22.22,97,85.4,63,14,5.5,0,29.9,29.8,29.8,0
Aug,26,33.33,25.17,22.22,23.89,22.33,20.56,100,85.6,55,37,5.6,0,29.9,29.8,29.8,0.01
Aug,27,31.67,25.00,21.67,24.44,23.00,21.11,100,89,61,24,3.4,0,29.9,29.8,29.8,2.24
Aug,28,32.78,26.67,22.78,24.44,23.39,22.22,97,83.2,57,18,4.3,0,29.8,29.8,29.7,0
Aug,29,33.89,27.61,22.22,24.44,22.78,20.56,97,77.3,48,12,4.8,0,29.9,29.8,29.8,0.38
Aug,30,30.56,25.83,22.78,25.56,23.33,22.22,100,86.6,65,15,7.8,0,29.9,29.8,29.8,0
Aug,31,32.22,26.94,23.33,24.44,23.44,22.22,100,82.2,57,12,6,0,29.9,29.9,29.8,0.01