Nest_ID,Box_ID,Clutch,Species_Code,Playback_Status,Ambient_Noise,Treatment_Type,Treatment_Code,Produced_Eggs,Hatched_Chicks,,,,,,,,
1,1,1,EB,No,60.45,Q,1,4,4,,,,,,,,
1_2,1,2,EB,Yes,60.45,QC,2,4,3,,,,,,,,
5,5,1,EB,Yes,66.33333333,QC,2,4,2,,,,,,,,
5_2,5,2,EB,No,66.33333333,Q,1,4,4,,,,,,,,
8,8,1,EB,Yes,70.425,NC,4,5,3,,,,,,,,
8_2,8,2,EB,No,73.25,N,3,4,4,,,,,,,,
8_3,8,3,EB,No,73.25,N,3,5,4,,,,,,,,
14,14,1,EB,No,63.025,Q,1,4,4,,,,,,,,
14_2,14,2,EB,No,63.025,Q,1,4,4,,,,,,,,
16_2,16,2,EB,Yes,61.4,QC,2,5,2,,,,,,,,
22,22,1,EB,No,60.3,Q,1,4,2,,,,,,,,
24,24,1,EB,Yes,68.85,QC,2,3,1,,,,,,,,
24_2,24,2,EB,Yes,68.85,QC,2,3,3,,,,,,,,
26,26,1,EB,Yes,70.35,NC,4,4,2,,,,,,,,
35,35,1,EB,Yes,65.15,QC,2,4,2,,,,,,,,
38,38,1,EB,No,60.1,Q,1,3,3,,,,,,,,
47,47,1,EB,No,87.6,N,3,5,5,,,,,,,,
48,48,1,EB,Yes,75.8,NC,4,5,4,,,,,,,,
48_2,48,2,EB,No,75.8,N,3,5,1,,,,,,,,
48_3,48,3,EB,Yes,75.8,NC,4,5,4,,,,,,,,
49,49,1,EB,No,62.975,Q,1,4,4,,,,,,,,
53,53,1,EB,Yes,64.1,QC,2,4,4,,,,,,,,
53_2,53,2,EB,No,64.1,Q,1,4,4,,,,,,,,
56_2,56,2,EB,No,71.025,N,3,4,3,,,,,,,,
67,67,1,EB,No,64.225,Q,1,4,4,,,,,,,,
67_3,67,3,EB,No,64.225,Q,1,4,2,,,,,,,,
73,73,1,EB,No,65.275,Q,1,5,5,,,,,,,,
73_2,73,2,EB,Yes,65.275,QC,2,4,3,,,,,,,,
76,76,1,EB,Yes,72.875,NC,4,4,1,,,,,,,,
76_2,76,2,EB,No,72.875,N,3,4,2,,,,,,,,
83,83,1,EB,Yes,70,QC,2,5,1,,,,,,,,
83_2,83,2,EB,No,70,QC,2,3,3,,,,,,,,
87,87,1,EB,Yes,79.7,NC,4,5,2,,,,,,,,
89,89,1,EB,Yes,70.5,NC,4,5,3,,,,,,,,
89_2,89,2,EB,No,70.5,N,3,5,5,,,,,,,,
91,91,1,EB,Yes,71.075,NC,4,5,5,,,,,,,,
91_2,91,2,EB,No,71.075,N,3,4,1,,,,,,,,
91_3,91,3,EB,No,71.075,N,3,5,1,,,,,,,,
92,92,1,EB,Yes,64.45,QC,2,5,5,,,,,,,,
93,93,1,EB,Yes,80.55,NC,4,5,2,,,,,,,,
93_2,93,2,EB,No,80.55,N,3,4,2,,,,,,,,
93_3,93,3,EB,Yes,80.55,NC,4,4,0,,,,,,,,
98,98,1,EB,Yes,72.25,NC,4,3,2,,,,,,,,
98_2,98,2,EB,Yes,72.25,NC,4,5,4,,,,,,,,
99_2,99,2,EB,No,75.525,N,3,4,2,,,,,,,,